provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:02,,2909961,Type2,Total,,Restricted,null,6,43.291897,5.453912,"{'streetAndNumber': 'A50 - Aire La Pomme BP 105', 'postalCode': '13011', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:03,,2867791,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.210398,5.624754,"{'streetAndNumber': 'Chemin des Peupliers', 'postalCode': '13600', 'city': 'Ceyreste', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:04,,2730389,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.190533,5.608585,"{'streetAndNumber': 'Avenue Guillaume Dulac 40', 'postalCode': '13600', 'city': 'La Ciotat', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:05,,2730378,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.453829,5.011772,"{'streetAndNumber': 'Place de la Manare', 'postalCode': '13920', 'city': 'Saint-Mitre-les-Remparts', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:06,,2730381,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.448682,5.688023,"{'streetAndNumber': 'Place de la Libération', 'postalCode': '13530', 'city': 'Trets', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:07,,2791711,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.459262,5.25032,"{'streetAndNumber': ""Place de l'Aire"", 'postalCode': '13127', 'city': 'Vitrolles', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:08,,2537006,Domestic,Mouv'Elec Var,,FreePublic,null,2,43.134693,5.753034,"{'streetAndNumber': 'Allée Alfred Vivien 3', 'postalCode': '83150', 'city': 'Bandol', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:09,,2861646,Domestic,Concessionnaires Jaguar Land Rover,,FreePublic,null,2,43.276699,5.40135,"{'streetAndNumber': 'Boulevard des Aciéries 4', 'postalCode': '13010', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:10,,2867793,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.289235,5.400273,"{'streetAndNumber': 'Boulevard Jean Moulin', 'postalCode': '13005', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:11,,2884661,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.248829,5.588032,"{'streetAndNumber': 'Avenue Marius Ghirardelli', 'postalCode': '13830', 'city': 'Roquefort-la-Bédoule', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:12,,2867782,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.44122,5.423155,"{'streetAndNumber': 'Boulevard Montesquieu 643', 'postalCode': '13320', 'city': 'Bouc-Bel-Air', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:13,,2867774,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.269773,5.421824,"{'streetAndNumber': 'Boulevard Paul Claudel 271', 'postalCode': '13010', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:13,,2867794,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.382782,5.162934,"{'streetAndNumber': 'Place des Résistants', 'postalCode': '13220', 'city': 'Châteauneuf-les-Martigues', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:15,,2927251,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:16,,2927249,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:16,,2807302,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:17,,2807304,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:18,,2807219,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:19,,2807303,Type2,NewMotion,,Unspecified,null,1,43.323569,5.3648,"{'streetAndNumber': 'Rue du Devoir 1', 'postalCode': '13015', 'city': 'Marseille', 'country': 'FRA'}",
