provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:22,,DEALLEGO001059,Type2,Allego,Unspecified,,,null,1,52.484108,13.342114,"{'streetAndNumber': 'Freiherr-vom-Stein-Str. 2', 'postalCode': '10825', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:23,,DEALLEGO000292,Type2,Allego,Unspecified,,,null,1,52.541945,13.570834,"{'streetAndNumber': 'Krummenseer Str. 2', 'postalCode': '12685', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:24,,DEALLEGO001125,Type2,Allego,Unspecified,,,null,2,52.51305,13.448263,"{'streetAndNumber': 'Grünberger Str. 4', 'postalCode': '10243', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:24,,ICUEVE000791,Type2,NewMotion,Unspecified,,,null,2,52.492385,13.525046,"{'streetAndNumber': 'Römerweg 42', 'postalCode': '10318', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:25,,DEALLEGO000285,Type2,Allego,Unspecified,,,null,1,52.569229,13.498827,"{'streetAndNumber': 'Zingster Str. 30', 'postalCode': '13051', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:26,,02009652,Type2,NewMotion,Unspecified,,,null,1,52.5430796,13.500571000000036,"{'streetAndNumber': 'Genslerstraße 72', 'postalCode': '13055', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:27,,DEALLEGO000131,Type2,Allego,Unspecified,,,null,2,52.509786,13.294996,"{'streetAndNumber': 'Witzlebenstr. 36', 'postalCode': '14057', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:28,,DEALLEGO001104,Type2,Allego,Unspecified,,,null,2,52.496709,13.313894,"{'streetAndNumber': 'Düsseldorfer Str. 51', 'postalCode': '10707', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:29,,DEALLEGO001060,Type2,Allego,Unspecified,,,null,1,52.475004,13.303121,"{'streetAndNumber': 'Mecklenburgische Str. 56', 'postalCode': '14197', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:30,,DEALLEGO000146,Type2,Allego,Unspecified,,,null,2,52.493476,13.413538,"{'streetAndNumber': 'Grimmstr. 9', 'postalCode': '10967', 'city': 'Berlin', 'country': 'DEU'}",
